あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
かーきーん	かーきーん 〈乾く、渇く〉【活】かーきたん、
かーぎ	かーぎ 〈容貌、姿、陰〉 【例】かーげー か
かーき のーし	かーき のーし 〈渇き直し〉 【例】でぃー、
かーぎ ぶし	かーぎ ぶし 〈陰干し〉 【例】しんじむん
かーかすん	かーかすん 〈干す、乾かす〉【活】かーかち
かーさ	かーさ 〈広い葉〉 【例】くばがーさぬ おー
かーじ／かじ	かーじ／かじ 〈たびに〉 【例】やーんかい
かーきー	かーきー 〈指切りげんまん〉 【例】うふっ
かーたー	かーたー 〈偏った、〜のような〉 【例】ちゅ
かーみー くー	かーみー くー 〈⻲の甲羅〉 【例】かーみ
かーみな くー	かーみな くー 〈べっ甲〉 【例】んかしぇ
かーちー	かーちー 〈夏至〉 【例】かーちーぬ くろ
かーらちゅん	かーらちゅん 〈乾く〉【活】かーらちゃん、
がーなー	がーなー 〈たんこぶ〉 【例】がーなー い
かーぶちー	かーぶちー 〈ミカンの一種〉 【例】かーぶ
かーぶやー	かーぶやー 〈コウモリ〉 【例】ゆる な
かいん	かいん 〈借りる〉【活】かたん、からん、かて
かいん	かいん 〈苅る〉【活】かたん、からん、かてぃ
かかいん	かかいん 〈世話になる、かかる〉【活】かか
かーみ	かーみ 〈甕〉 【例】「みーとぅんだー かーみ
かーみー	かーみー 〈⻲〉
かかい でー	かかい でー 〈粘り強さ〉 【例】なまぬ 
かきあーし むん	かきあーし むん〈間にあわせ用品〉 【例】
かかいん	かかいん 〈詰め寄る、引っかかる〉【活】かか
かかじーん	かかじーん 〈かじる〉【活】かかじたん、か
かきーん	かきーん 〈掛ける〉【活】かきたん、かきら
かき えー	かき えー 〈掛け合い〉 【例】んかしぇー
かかわい	かかわい 〈かかわり〉 【例】なーふぁとぅ 
かき むち	かき むち 〈掛け持ち〉 【例】ありくり 
かき じゃー	かき じゃー 〈吊るし鈎〉 【例】くーさ
かかん	かかん 〈下裳〉 【例】どぅぢぬん かかぬん
かきあーいん	かきあーいん 〈間に合う〉【活】かきあーた
かきーん	かきーん 〈賭ける〉【活】かきたん、かきら
かきあーすん	かきあーすん 〈間に合わす〉【活】かきあ
かぎーん	かぎーん 〈欠席する〉【活】かぎたん、かぎら
かくじ	かくじ 〈下顎全体〉 【例】ちらぬ しちゃむ
かきむん	かきむん 〈欠けたもの〉 【例】かきまかえー
かく	かく 〈癌、難病〉 【例】あれー さき ぬみ
かくすん	かくすん 〈（他に知られないように）隠す〉
がく ぶり	がく ぶり 〈学問以外は何も知らない人〉
かくい	かくい 〈囲い、垣根〉 【例】あかばなーぬ 
かくぐ すん	かくぐ すん 〈大切にしまい込む〉【活】〜
かくびち	かくびち 〈とても好いもの、おいしいもの、
かくむん	かくむん 〈囲む〉 【例】うほーくぬ っち
かくり ぶし	かくり ぶし 〈人前ではその気配を見せな
かげーいん	かげーいん 〈支配する〉【活】かげーたん、か
かさかさー	かさかさー 〈乾燥したさま、ごわごわしたさ
かし	かし 〈粕〉 【例】とーふぬかし いりちゃー
かさぎーん	かさぎーん 〈妊娠する〉【活】かさぎたん、か
かじ	かじ 〈風〉 【例】じゅーぐゎちぬ うふかじぇ
かさぎらすん	かさぎらすん 〈妊娠させる〉【活】かさぎら
かさばいん	かさばいん 〈重なる〉【活】かさばたん、か
かじ かたか	かじ かたか 〈風除け〉 【例】んかしぬ 
かじ ふち	かじ ふち 〈強風、暴風〉 【例】あちゃー、
かじ ふち あーけーじゅー	かじ ふち あーけーじゅー 〈暴風の前
かさびーん	かさびーん 〈重ねる〉【活】かさびたん、かさ
かじ まーい	かじ まーい 〈旋風、突風〉 【例】にんぐ
かじ ちり あびー	かじ ちり あびー 〈首筋が切れるほどの
かじ まやー	かじ まやー 〈かざぐるま、97 歳の生年祝
かじ まやー	かじ まやー 〈交差点〉 【例】かじまやー
かじ まやー ぎー	かじ まやー ぎー〈クチナシ〉 【例】か
かじ っわーら	かじ っわーら 〈風上〉 【例】かじっわー
かじ	かじ 〈数〉 【例】うちなーぐちさーに てぃ
かじ かじぬ	かじ かじぬ 〈たくさんの〉 【例】なー
かじ ならん	かじ ならん 〈取るに足らない〉 【例】か
かじ	かじ 〈舵〉 【例】はーりーすーぶんぢぇー 
かじ	かじ 〈筋、繊維〉 【例】かじぬ うふさる 
かしー	かしー 〈応援、援助〉 【例】かしーんかえー
かじみーん	かじみーん 〈大事にしまう〉【活】かじみた
かしがー	かしがー 〈麻布〉 【例】んかしぇー めり
かじみ むん	かじみ むん 〈秘蔵品〉 【例】くぬ けー
かしかき	かしかき 〈かせ掛け〉 【例】かしかきんで
かじゃ	かじゃ 〈臭い〉 【例】きぶしぬ かじゃ す
かしちー	かしちー 〈おこわ〉 【例】かしちーや か
かじゃい	かじゃい 〈飾り〉 【例】そーぐゎちぬ か
かしてぃら	かしてぃら 〈かまぼこの一種〉 【例】かし
かじゃい たてぃーん	かじゃい たてぃーん〈飾りたてる〉【活】〜
がじゃん	がじゃん 〈蚊〉 【例】がじゃんくぇー（蚊
がじまる	がじまる 〈がじゅまる〉 【例】くぬ がじ
かじゅーいん	かじゅーいん 〈数える〉【活】かじゅーたん、
かた あがい	かた あがい 〈半煮え〉 【例】くぬ むし
かしら	かしら 〈⻑、頭〉 【例】やーぬ かしらー 
かた	かた 〈肩〉 【例】あちゃーまでぃねー しー 
かた うでぃ	かた うでぃ 〈協力者〉 【例】っちょー 
かた うむい	かた うむい 〈片思い〉 【例】いーじまは
かた うや	かた うや 〈片親〉 【例】いくさをぅてぃ
かた かき	かた かき 〈不公平〉 【例】てぃーだん 
かた かきーん	かた かきーん 〈兼業する〉【活】〜かきた
かた	かた 〈形、型〉 【例】わらびぬ くろー ゐ
かた	かた 〈方向、方角〉 【例】すいぐしくから 
かた かしら	かた かしら 〈片髪、成人男子の髪型〉
かた	かた 〈片〉
かた ぐー	かた ぐー 〈片方〉 【例】しーさーぬ か
かた ちんし	かた ちんし 〈片ひざ〉 【例】んかしから
かた ぐー まんちゃー	かた ぐー まんちゃー 〈片チンバ〉
かた くくる	かた くくる 〈ひとまずの安心〉 【例】く
かたでぃー	かたでぃー 〈片手〉【活】かた ふぃさ〈片
かた くち われー	かた くち われー 〈微笑み〉 【例】あ
かた どぅー	かた どぅー 〈半身〉 【例】っちゅぬ 
かた げーな	かた げーな 〈片腕〉 【例】ぐじゅーかた
かた ばい	かた ばい 〈肩の盛りあがり〉 【例】てぃ
かた じー	かた じー 〈一方に片寄ること〉 【例】う
かた びーち	かた びーち 〈片ひいき〉 【例】っくゎ
かた しみ	かた しみ 〈片隅〉 【例】わったー まや
かた ぶい	かた ぶい 〈片降り（通り雨や片時雨とも異
かた ちみ がにぐゎー	かた ちみ がにぐゎー 〈潮まねき〉
かた みち	かた みち 〈片道〉 【例】みち のーちょ
かた わき	かた わき 〈不公平な配分〉 【例】ゆくぬ
かたじきーん	かたじきーん 〈片付ける〉【活】かたじきた
かたいん	かたいん 〈語る〉【活】かたたん、かたらん、
かたか	かたか 〈避け、除け〉 【例】わったー やー
かたち	かたち 〈敵〉 【例】どぅーがってぃーとぅか
かたか すん	かたか すん 〈さえぎる〉【活】〜さん、〜さ
かたち	かたち 〈姿〉 【例】をぅどぅいぬ しんしー
かたちき	かたちき 〈型染め〉 【例】びんがたー か
かたか みち	かたか みち 〈人目につかない道〉 【例】
がたがたー すん	がたがたー すん 〈震える〉【活】〜さ
かたはら	かたはら 〈傍ら、そば〉 【例】くぬ いよー
かたじー すん	かたじー すん 〈傾く〉【活】〜さん、〜さ
かたはら っんぶー	かたはら っんぶー 〈てんぷらの一種〉
かたばる	かたばる 〈干潟〉 【例】あーしぬ かたばる
かたふぃら むん／かたふぁー	かたふぃら むん／かたふぁー 〈肢
かたみ あちねー	かたみ あちねー 〈行商人〉 【例】かたん
かたまいん	かたまいん 〈つまる、ふさがる〉【活】かた
かたみ	かたみ 〈契り〉 【例】にーびち いーびなぎ
かたみーん	かたみーん 〈濃くする〉【活】かたみたん、か
かたいん	かたいん 〈語る〉【活】かたたん、かたらん、
かたみ	かたみ 〈形見〉 【例】くぬ しゅむちぇー 
かたらいん	かたらいん 〈仲間に入れる〉【活】かたらた
かたみーん	かたみーん 〈担ぐ、背負う〉【活】かたみた
かたれー／い かたれー	かたれー／い かたれー 〈仲間になるこ
かたんきーん	かたんきーん 〈傾ける〉【活】かたんきた
かち〜	かち〜〈掻き〜〉
かち くじーん	かち くじーん 〈ほじくり回す〉【活】〜く
かち しがいん	かち しがいん 〈すがりつく〉【活】〜しが
かたんちゅん	かたんちゅん 〈傾く〉【活】かたんちゃん、
かち ほーいん	かち ほーいん 〈散らかす〉【活】〜ほーた
かたんち ばい	かたんち ばい 〈恥ずかしくて顔をそむけ
かち みんぐゎすん	かち みんぐゎすん 〈かき乱す〉【活】〜み
かちゃーすん	かちゃーすん 〈かき混ぜる〉【活】かちゃー
かち	かち 〈働き、反復〉 【例】ゆーじゅかち し
かちゃーしー	かちゃーしー 〈テンポの速い三線の曲、乱
かちゃむん	かちゃむん 〈ひっかく〉【活】かちゃだん、か
かちゃんくゎーすん	かちゃんくゎーすん〈盛んにひっかく〉【活】
かちゅん	かちゅん 〈書く〉【活】かちゃん、かかん、か
かち いりーん	かち いりーん 〈書き入れる〉【活】〜いっ
かち ちき	かち ちき 〈文書〉 【例】あぬ かちちけ
かちゅん	かちゅん 〈かく〉【活】かちゃん、かかん、か
かちみーん	かちみーん 〈捕まえる〉【活】かちみたん、か
かちみ んそーれー	かちみ んそーれー〈⻤ごっこ〉 【例】か
かちゅん	かちゅん 〈増築する〉【活】かちゃん、かか
かちゅん	かちゅん 〈勝つ、すぐれる〉【活】かっちゃ
かっちかむん	かっちかむん 〈ひっつかむ〉【活】かっちか
がってぃん すん	がってぃん すん 〈賛成する、納得する、
がっぱい	がっぱい 〈一部がとび出している頭〉 【例】
かぢゃでぃふー	かぢゃでぃふー 〈かぎやで風〉 【例】う
かてぃーん	かてぃーん 〈一緒にする、おかずにする〉【活】
かちゅー	かちゅー 〈かつお〉 【例】かちゅーゆー 
かぢり	かぢり 〈限り、限定、期限〉 【例】じのー
かてぃ むん	かてぃ むん 〈おかず〉 【例】っんみぶし
かてーむん	かてーむん 〈困ったこと／者〉 【例】うん
かってぃー	かってぃー 〈勝手〉 【例】あまぬ とぅじ
かなーすん	かなーすん 〈噛む〉【活】かなーちゃん、か
かないん	かないん 〈叶う、達者である〉【活】かなたん、
かにーん	かにーん 〈遮る〉【活】かにたん、かにらん、
かなぎーん	かなぎーん 〈まくしあげる〉【活】かなぎた
〜がなしー	〜がなしー 〈最高の尊称〉 【例】うてぃん
かなみ	かなみ 〈要〉 【例】なーちゃー ちぶる や
かにてぃ	かにてぃ 〈以前〉 【例】かにてぃからぬ う
かぬち ぼー	かぬち ぼー 〈雄綱と雌綱を抜き通す棒〉
かなみ	かなみ 〈挨拶（交際上の要）〉 【例】ちゃー
かねーらすん	かねーらすん 〈かなえるように仕向ける〉
かに	かに 〈規範、常識〉 【例】とぅし とぅいね
かば かじゃ	かば かじゃ 〈芳香〉 【例】あんし か
かまじし	かまじし 〈無愛想〉 【例】あんし かまじ
がふぁさー	がふぁさー 〈強情者〉
がふぁ みかすん	がふぁ みかすん 〈ごつんと打つ〉【活】〜
かま	かま 〈かまど〉 【例】んかしぇー まぎいし
がま	がま 〈洞窟〉 【例】うちなーぬ がまぬ な
かまじぇー	かまじぇー 〈こおろぎ〉 【例】あち ない
かまち	かまち 〈頭の卑語、（釘・鎌の柄・鍬の柄の）
かまらさー	かまらさー 〈気難しい者〉 【例】あれー 
がまく	がまく 〈腰〉 【例】はちゃー がまく（蜂の
かまじー	かまじー 〈麻袋〉 【例】はる さーぬ すー
かまんた	かまんた 〈大釜の蓋〉 【例】しんめー なー
かみ	かみ 〈神〉 【例】かみうすりー しぇー、む
かみ あしゃぎ	かみ あしゃぎ 〈村の神を祭ってある建物〉
かみ だーり／かみ がかい	かみ だーり／かみ がかい 〈神がかり〉
かみ にげー	かみ にげー 〈神頼み〉 【例】っちゅにん
かみらりーん	かみらりーん 〈胃けいれんで苦しむ〉【活】
かむいん	かむいん 〈かまう、干渉する、世話する〉【活】
かみーん	かみーん 〈頭に乗せて運ぶ、おしいただく、
かみ あちねー さー	かみ あちねー さー 〈商品を頭に乗せて
かむん	かむん 〈食べる〉【活】かだん、かまん、かでぃ
かみ さし	かみ さし 〈男性用のかんざし〉 【例】う
かやーすん	かやーすん 〈持ち運ぶ〉【活】かやーちゃん、
かみ はんすん	かみ はんすん〈食べ損なう〉【活】〜はんち
から〜	から〜〈からっぽ、中味のない〉
から ぢゃー	から ぢゃー 〈茶請けなしの茶〉 【例】い
かみ ぶらーり	かみ ぶらーり 〈栄養失調〉 【例】いくさ
から ふぃさ	から ふぃさ 〈裸足〉 【例】なまー から
かめーいん	かめーいん 〈拾う、捜し求める〉【活】かめ
から ふに	から ふに 〈骸骨〉 【例】いくさから な
かや ぶち やー	かや ぶち やー 〈茅葺きの家〉 【例】
から ゆか	から ゆか 〈板の床〉 【例】んかしぇー 
がらさー、がらし	がらさー、がらし 〈カラス〉 【例】が
がら	がら 〈殻、空〉 【例】なーぬ あまくまんかえ
から〜	から〜〈干、乾〉
から がーき	から がーき 〈干上がること〉 【例】あま
からじ	からじ 〈髪〉 【例】【活】からじぎー（髪の
からじ くぇー	からじ くぇー 〈カミキリムシ〉 【例】か
から じゅすい	から じゅすい 〈乾拭き〉 【例】しゅむち
からじ ぶちかー	からじ ぶちかー 〈髪の毛の散らかってい
からいん	からいん 〈飼う〉 【例】しかいん からて
からすー	からすー 〈塩辛〉 【例】くぬ からすーや
からからー	からからー 〈酒の容器〉 【例】とーりてぃ
からすん	からすん 〈貸す〉【活】からちゃん、からさ
からすん	からすん 〈枯らす〉【活】からちゃん、からさ
かり いちゃ	かり いちゃ 〈スルメ〉 【例】かりいち
からみちゅん	からみちゅん 〈からみつく〉【活】からみち
かりゆし	かりゆし 〈めでたいこと〉 【例】かりー ゆ
から むん	から むん 〈辛いもの〉 【例】どぅく か
からうぃーばち すん	からうぃーばち すん 〈吐き気を催し
がる むん	がる むん 〈軽い物〉 【参】がっさん（軽
かる わじゃ	かる わじゃ 〈軽い仕事〉 【例】くぬ 
かりー	かりー 〈嘉例、縁起が良いこと〉 【例】た
かわいん	かわいん 〈変わる〉【活】かわたん、かわら
かわい	かわい 〈変わり、代わり〉 【例】やーんから
かわい ぐとぅ	かわい ぐとぅ 〈めったにあり得ないこと〉
かわい むん	かわい むん 〈変人〉 【例】エジソン や
かん	かん 〈勘〉 【例】うぬ くとぅば てぃーち
かんげーいん	かんげーいん 〈考える、世話する〉【活】か
がんしなー	がんしなー 〈（頭にのせて運ぶために物の下
かん ちげー	かん ちげー 〈勘違い〉 【例】っやーが 
かんじゃー やー	かんじゃー やー 〈鍛冶屋〉 【例】ん
かん	かん 〈こう〉 【例】あぎじゃびよー。かん 
がんじゅー	がんじゅー 〈頑丈〉 【例】がんじゅーむん
がんどぅいん	がんどぅいん 〈元気がなくなっている〉【活】
かんすい	かんすい 〈カミソリ〉 【例】わったーが 
かんとぅ	かんとぅ 〈髪の卑語〉 【例】どぅく かじ
かんとぅ むしーん	かんとぅ むしーん 〈髪をむしる〉【活】〜
かん すん	かん すん 〈こうする〉【活】〜さん、〜さ
かんない	かんない 〈雷〉 【例】かんないぬ ないね
かんぬー	かんぬー 〈肝要〉 【例】うやふぁーふじか
かんぢゅん	かんぢゅん 〈被る〉【活】かんたん、かんだ
かんしーん	かんしーん 〈被せる〉【活】かんしたん、か
かんぬ むし	かんぬ むし 〈癇の虫〉 【例】ゆーる 
がんまり	がんまり 〈いたずら、いじくりまわし〉 【例】
きー	きー 〈木〉 【例】いったー やーぬ なーや 
きー くさ	きー くさ〈木草、植物〉 【例】なーや き
きー じーふぁー	きー じーふぁー 〈木製かんざし〉 【例】
きー じぇーくー	きー じぇーくー 〈大工〉 【例】なまー 
きー じょー	きー じょー 〈木の門〉 【例】やーぬ じ
きー うーし	きー うーし 〈木臼〉 【例】きーうーしと
きー ぢり	きー ぢり 〈木切れ〉 【例】やちっんむ 
きー かし	きー かし 〈木屑、おがくず〉 【例】あみ
きーぬ しん	きーぬ しん 〈木の芯〉 【例】くぬ まー
きー ぶり だちゃー すん	きー ぶり だちゃー すん 〈鳥肌
きーぬ また	きーぬ また 〈木の股〉 【例】うちなーを
きー びさー	きー びさー 〈竹馬〉 【例】わらび そー
きー まっくゎ	きー まっくゎ 〈木枕〉 【例】んかしぇー
きー まー	きー まー 〈毛深い者〉 【例】きーまーと
きー むっくー	きー むっくー 〈つぼみ〉 【例】きーむっ
きーん	きーん 〈蹴る〉【活】きっちゃん、きらん、き
きーうい/ういぐゎー	きーうい/ういぐゎー 〈きゅうり〉 【例】なーふぁをぅてー とぅんじーじゅーしー う
ぎーたー	ぎーたー 〈片足〉 【参】かたふぃさ。
きじむなー	きじむなー 〈木の精〉 【例】きじむなーぬ
きぶし かじゃ	きぶし かじゃ 〈煙臭さ〉 【例】がじゃ
きらま	きらま 〈慶良間〉 【例】っちゅぬ くとー 
ぎぢゃー	ぎぢゃー 〈意地の悪い女〉 【例】ぎぢゃー
きぢゃーすん	きぢゃーすん 〈かき混ぜる、かき回す〉【活】
きぢゅん	きぢゅん 〈混ぜる、撹拌する、中傷する〉【活】
きっちゃき	きっちゃき 〈つまずき〉 【例】「ぬーが 
きり〜	きり〜〈蹴り〜〉
きり くゎーすん	きり くゎーすん 〈蹴りあげる〉【活】〜く
きり けーらすん	きり けーらすん 〈蹴り返す〉【活】〜けー
きぶいん	きぶいん 〈煙る〉【活】きぶたん、きぶらん、
きり とぅばすん	きり とぅばすん 〈蹴り飛ばす〉【活】〜と
きりりん ばんばん	きりりん ばんばん 〈取っ組み合いのけ
くいけーし	くいけーし 〈繰り返し〉 【例】っやーや 
くー ぐすい	くー ぐすい 〈粉薬〉 【例】くーぐすえー
くいじ	くいじ 〈恋路〉 【例】っちゅぬ くいじんか
くー	くー 〈籠〉 【例】なまー しぇーならんしが、
くいまーすん	くいまーすん 〈やりくりする〉 【例】あ
くー	くー 〈甲〉 【例】かーみぬ くーやか とぅ
くー	くー 〈コツ〉 【例】がに とぅったい、たく
くー	くー 〈穴〉 【例】わらび そーいに「なーびな
くー すん	くー すん 〈繕う〉【活】くーちゃん、くー
ぐー	ぐー 〈連れ、仲間〉【活】ゆいぬ むん（同類）
くー	くー 〈粉〉 【例】てぃんぷらー すくとぅ 
くー〜	くー〜〈小〉 【参】くーさん（小さい）からの
くー われー	くー われー 〈クスッと笑うこと〉 【例】
くー あちさ	くー あちさ 〈小暑〉 【例】くー あちさ
くーいん	くーいん 〈噛みつく〉【活】くーたん、くーら
くー いゆ	くー いゆ 〈鯉〉 【例】くーいよー んー
くーさ い	くーさ い 〈幼いころ〉【活】＝くーさる 
くー てーん	くー てーん 〈少し〉 【例】ちむ いふぃ
くー にー すん	くー   にー   すん 〈小 さ く 切 っ て 煮 る〉
くー もーい すん	くー もーい すん 〈小躍りする〉【活】〜
くー やー	くー やー 〈噛みつく者〉 【例】みみだい
くーいん	くーいん 〈請う〉【活】くーたん、くーらん、
くー やー	くー やー 〈嫁のもらい手〉 【例】っやー
くーいん	くーいん 〈閉じる〉【活】くーたん、くーら
くーが	くーが 〈卵〉 【例】ほーとー くーが たー
くーしぇー	くーしぇー 〈手落ち〉 【例】あれー ぬー
くーくぇー すん	くーくぇー すん 〈後悔する〉【活】〜さ
くーす	くーす 〈古酒〉 【例】くーそー ちゃっさ 
くーすん	くーすん 〈壊す〉【活】くーちゃん、くーさ
くーが ふぁーふぁー	くーが ふぁーふぁー 〈卵焼き〉 【例】
くーが ぐる	くーが ぐる 〈卵の殻〉 【例】はーちっう
くーぢ	くーぢ 〈公儀、公事〉
くーぢ ぐとぅ	くーぢ ぐとぅ 〈訴訟沙汰、公務〉 【例】
くーぢ むち	くーぢ むち 〈公費持ち〉 【例】あれー 
くーぎー	くーぎー 〈陰毛〉 【例】うぃきがぬちゃーや
くーとぅー	くーとぅー 〈〜以外〉 【例】やなむん ん
くーしー むん	くーしー むん 〈貧乏者〉 【例】いった
くーぶ	くーぶ 〈昆布〉 【例】うさんみうじゅーんか
くーとー	くーとー 〈公平〉 【例】ありが するくと
ぐーに	ぐーに 〈びっこ〉 【例】ぐーに／ねーぐ っ
くーりーん	くーりーん 〈崩れる〉【活】くーりたん、く
くーり じぇーうぇー	くーり じぇーうぇー 〈災い転じて福とな
くーばー	くーばー 〈クモ〉 【例】っちゅぬ いっちゃ
くーるー まーしぇー	くーるー まーしぇー 〈コマ回しの遊
くがた	くがた 〈こちら側〉 【例】っやーや ふどぅ
くがとー	くがとー 〈こんな遠方〉【活】うがとー〈そん
くーび	くーび 〈ぐみ〉 【例】くーび かみーが ち
くがに いーびなぎー	くがに いーびなぎー 〈金の指輪〉【活】
くくち	くくち 〈心地、気分〉 【例】わさわさーっし
くがに じーふぁー	くがに じーふぁー 〈金のかんざし〉
くがに じぇーく	くがに じぇーく 〈金細工職人〉【活】か
くがにー	くがにー 〈ミカンの一種〉 【例】くがにーぬ
くくぬ たい	くくぬ たい 〈九人〉 【例】ちゅい、たい、
くがらすん	くがらすん 〈焦がす〉【活】くがらちゃん、く
くくぬ とぅ ぐんじゅー	くくぬ とぅ ぐんじゅー 〈49〉【例】かじぬ ゆみかたー、てぃー、たー、みー、
くがりーん	くがりーん 〈焦がれる〉【活】くがりたん、く
くくむいん	くくむいん 〈つぼみを持っている〉【活】く
くくいん	くくいん 〈結ぶ、まとめる〉【活】くくたん、
くくむい	くくむい 〈つぼみ〉 【例】わんねー あて
くくる	くくる 〈心〉 【例】なさきぬ ねーん っち
くくむん	くくむん 〈口の中に含む〉【活】くくだん、く
くくますん	くくますん 〈口の中に含ませる〉【活】くく
くくる がきーん	くくる がきーん 〈心がける〉【活】〜がき
くげー	くげー 〈交流、交際〉 【例】なーふぁとぅ 
くくらき	くくらき 〈胸やけ〉 【例】どぅく やーさぬ、
くげー じん	くげー じん 〈交際費〉 【例】そーぐゎち
くくりーん	くくりーん 〈注意する〉【活】くくりたん、く
くげー ぢん	くげー ぢん 〈訪問着〉 【例】あきまどぅ
くさ	くさ 〈雑草〉 【例】わーが おーふぁ っう
くさー	くさー 〈後ろ〉 【例】ふーろー、んかしぇー
くさ ぶっくぃーん	くさ ぶっくぃーん 〈ませる〉【活】〜ぶ
くさ ぶっくゎー	くさ ぶっくゎー 〈ませた子〉 【例】くさ
くさいん	くさいん 〈まとめる〉【活】くさたん、くさら
くさい	くさい 〈まとめ〉 【例】やーぐさえー をぅ
くさてぃ	くさてぃ 〈つっかい棒、頼り、夫〉 【例】「っ
くさ むにー	くさ むにー 〈ませたもの言い〉 【例】む
くさぢゅん	くさぢゅん 〈包丁の刃を直角に当てて皮を
くさくさー すん	くさくさー すん 〈憤慨する〉【活】〜さ
くさぶっくぃーん	くさぶっくぃーん 〈ませる〉【活】くさぶ
くさみちゅん	くさみちゅん 〈腹を立てる〉【活】くさみ
くし	くし 〈欠点〉 【例】くしぬ ねーらん っち
くさみち あびー	くさみち あびー 〈つっけんどんな声〉
くじ	くじ 〈籤、クジ〉 【例】っちゅんかえー く
くさりーん	くさりーん 〈（生ものが）腐れる〉【活】くさ
くしーん	くしーん 〈着せる〉【活】くしたん、くしら
くじーん	くじーん 〈ほじくる〉【活】くじたん、くじら
くさらー	くさらー 〈腐れたもの〉 【例】いちゅび 
くし	くし 〈腰〉 【例】っやーん いふぇー くし 
くしがき	くしがき 〈頼りにすること、鼻にかけること〉
くじすん	くじすん 〈ごちそうに箸をつける、崩す〉【活】
くしち	くしち 〈戸籍〉 【例】っくゎ なしーねー、
ぐしち	ぐしち 〈すすき〉 【例】じゅーぐやーねー 
くす	くす 〈糞〉 【例】「くす くぇー」や やなむ
くじゅ	くじゅ 〈去年〉 【例】くじゅぬ うふしがり
くし でー	くし でー 〈腰力〉 【例】とぅし とぅい
くし ながに	くし ながに 〈背中〉 【例】くしながに 
ぐすぐす	ぐすぐす 〈半煮えの状態〉 【例】くぬ っ
くすい	くすい 〈薬〉 【例】をぅたとーらー にんぢ
くじりーん	くじりーん 〈崩れる〉【活】くじりたん、く
くすい でー	くすい でー 〈薬代〉 【例】くすいやー
くしれーいん	くしれーいん 〈解体する、屠殺する〉【活】
くたすん	くたすん 〈朽ちさせる〉【活】くたちゃん、く
ぐすーよー	ぐすーよー 〈皆様〉 【例】ぐすーよー が
くだすん	くだすん 〈下痢する〉 【例】わったー や
くす ぐぇー	くす ぐぇー 〈下肥え〉 【例】なまー 
くす ちり ばい	くす ちり ばい 〈一目散に走ること〉
くたちち	くたちち 〈先月〉 【例】わったー みーや
くす ふぃりー	くす ふぃりー 〈下痢〉 【例】なまどぅ
くだみーん	くだみーん 〈踏みにじる〉【活】くだみたん、
くたんでぃーん	くたんでぃーん 〈疲れる〉【活】くたんで
ぐそー	ぐそー 〈あの世〉 【例】うやふぁーふじぬ 
くだーき	くだーき 〈この高さ〉 【例】「いったー な
くたんでぃ のーし	くたんでぃ のーし〈疲れ直し〉 【例】に
くち	くち 〈語、ことば、口〉 【例】やまとぅぐち
くち がんすい	くち がんすい 〈口達者〉 【例】くちがん
くち ぐし	くち ぐし 〈口癖〉 【例】わんねー いち
くち かじ	くち かじ 〈口数〉 【例】うぃなごー あ
くち ぐとぅ	くち ぐとぅ 〈言い争い〉 【例】っちゅぬ
くち からじ	くち からじ 〈口も頭も疲れること〉 【例】
くち ぐふぁー	くち ぐふぁー 〈毒舌家〉 【例】あれー
くちぬ めー	くちぬ めー 〈一人食べていくだけの稼ぎ〉
くち ざんしん	くち ざんしん 〈口で三線をまねること〉
くち しば	くち しば 〈悪いうわさ〉【活】くちなん 
くちぬ っわーび	くちぬ っわーび 〈口先〉 【例】ありが 
くち のーし	くち のーし 〈口直し〉 【例】んぢゃむん
くち ふぃんとー	くち ふぃんとー 〈口答え〉 【例】っちゅ
くち しる	くち しる 〈口の中の唾液〉 【例】みーぬ
くち ぶーち	くち ぶーち 〈ほら吹き〉【活】くち ぶー
くち ぢゅくい	くち ぢゅくい 〈口に物を入れること〉
くち	くち 〈遺骨〉
くち どぅみ	くち どぅみ 〈口止め〉 【例】っちゅにん
くち うーちー	くち うーちー 〈遺骨の移転〉 【例】くち
くち うんちけー／みくち うんちけ	くち うんちけー／みくち うんちけ
ー	ー 〈遺骨のお招き〉 【例】みーばか ちゅく
くとぅ	くとぅ 〈こと、物事〉 【例】ちかぐろー ぬ
くち （かじ）	くち （かじ）〈東風〉 【例】なちぇー 
くちゅぐいん	くちゅぐいん 〈くすぐる〉 【例】ぐなわ
くとぅ かちゅん	くとぅ かちゅん 〈足りずに不自由する〉
くとぅ さび	くとぅ さび 〈災い〉 【例】やくどぅし
くちゅび	くちゅび 〈イボ〉 【例】くちゅべー やーち
くっくるーうー	くっくるーうー 〈雄鶏の鳴き声〉 【例】
くっぴ／くっさ	くっぴ／くっさ 〈これっぽち〉【活】＝く
くとぅ―	くとぅ―〈琴〉 【例】くとぅー ならいぶさ
くとぅし	くとぅし 〈今年〉 【例】くとぅしぇー ダ
くてーいん	くてーいん 〈堪える〉【活】くてーたん、く
くとぅば	くとぅば 〈ことば、地域語〉 【例】なーふ
くとぅば かじ	くとぅば かじ 〈ことば数〉 【例】あかん
くとぅばぬ うー	くとぅばぬ うー 〈ことばの綾〉 【例】あ
くとぅぶち	くとぅぶち 〈寿〉 【例】うゆえーをぅてぃ
くなーすん	くなーすん 〈踏みつける〉【活】くなーちゃ
くなすん	くなすん 〈消化する、耕す〉【活】くなちゃん、
くとぅゆしーん	くとぅゆしーん 〈口実をもうける〉【活】
